team_2026_27,player,matched,match_type,prior_pl_team,position,rating,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,gi_per90,w_minutes,seasons,latest_team,latest_season
Brentford,Nathan Collins,True,name,Brentford,DEF,149.48,149.48,1.66,3.87,5.53,4.36,0.13,3883.1,5,Brentford,2025-26
Brentford,Michael Kayode,True,name,Brentford,DEF,76.74,76.74,0.59,1.54,2.14,2.79,0.09,2122.13,2,Brentford,2025-26
Brentford,Kim Ji-Soo,True,name,Brentford,DEF,1.06,1.06,0.0,0.0,0.0,0.0,0.0,9.9,2,Brentford,2025-26
Brentford,Benjamin Arthur,True,name,Brentford,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Brentford,2025-26
Brentford,Benjamin Fredrick,True,name,Brentford,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Brentford,2025-26
Brentford,Ollie Shield,True,name,Brentford,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Brentford,2025-26
Brentford,Joshua Stephenson,True,name,Brentford,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Brentford,2025-26
Brentford,Conor McManus,True,name,Brentford,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Brentford,2025-26
Chelsea,Jordan Henderson,True,name,Brentford,MID,69.8,69.8,0.92,2.83,3.75,2.19,0.19,1783.17,9,Brentford,2025-26
Brentford,Kevin Schade,True,name,Brentford,MID,137.57,137.57,9.07,4.93,14.0,12.77,0.49,2597.17,4,Brentford,2025-26
Brentford,Mathias Jensen,True,name,Brentford,MID,112.82,112.82,3.04,3.69,6.73,7.69,0.24,2561.93,5,Brentford,2025-26
Brentford,Josh Dasilva,True,name,Brentford,MID,11.94,11.94,0.5,0.25,0.75,0.5,0.38,177.19,4,Brentford,2025-26
Brentford,Fábio Carvalho,True,name,Brentford,MID,23.48,23.48,1.55,0.48,2.03,1.68,0.71,258.46,3,Brentford,2025-26
Brentford,Antoni Milambo,True,name,Brentford,MID,0.59,0.59,0.0,0.0,0.0,0.01,0.0,26.76,1,Brentford,2025-26
Brentford,Yehor Yarmoliuk,True,name,Brentford,MID,77.04,77.04,0.59,1.78,2.38,2.09,0.1,2084.24,2,Brentford,2025-26
Brentford,Mikkel Damsgaard,True,name,Brentford,MID,127.09,127.09,3.09,6.75,9.84,9.1,0.35,2541.28,4,Brentford,2025-26
Brentford,Yunus Konak,True,name,Brentford,MID,3.54,3.54,0.0,0.0,0.0,0.05,0.0,18.74,2,Brentford,2025-26
Brentford,Vitaly Janelt,True,name,Brentford,MID,106.68,106.68,1.83,4.4,6.24,4.56,0.21,2736.24,5,Brentford,2025-26
Brentford,Luka Bentt,True,name,Brentford,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Brentford,2025-26
Brentford,Callum Wilson,True,name,West Ham,FWD,106.88,106.88,9.97,2.78,12.75,9.31,0.7,1636.0,10,West Ham,2025-26
Brentford,Igor Thiago,True,name,Brentford,FWD,110.81,110.81,13.08,0.59,13.68,13.4,0.61,2010.53,2,Brentford,2025-26
Brentford,Jaidon Anthony,True,name,Burnley,MID,83.77,83.77,5.13,2.5,7.64,5.1,0.38,1802.41,4,Burnley,2025-26
Brentford,Dango Ouattara,True,name,Brentford,MID,138.01,138.01,6.97,6.97,13.94,12.73,0.51,2466.83,4,Brentford,2025-26
Brentford,Keane Lewis-Potter,True,name,Brentford,DEF,118.71,118.71,2.77,4.69,7.46,7.87,0.26,2597.94,4,Brentford,2025-26
Brentford,Gustavo Nunes,True,name,Brentford,MID,1.06,1.06,0.0,0.0,0.0,0.0,0.0,3.89,2,Brentford,2025-26
Brentford,Kaye Furo,True,name,Brentford,FWD,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.59,1,Brentford,2025-26
Brighton,James Beadle,False,none,,,,,,,,,,,,,
Brighton,Bart Verbruggen,True,name,Brighton,GKP,128.01,128.01,0.0,0.35,0.35,0.04,0.01,3576.38,3,Brighton,2025-26
Brighton,Jason Steele,True,name,Brighton,GKP,20.29,20.29,0.0,0.12,0.12,0.02,0.02,560.72,7,Brighton,2025-26
Brighton,Tom McGill,True,name,Brighton,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Brighton,2025-26
Coventry,Carl Rushworth,True,name,Brighton,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Brighton,2025-26
Brighton,Pascal Struijk,True,name,Leeds,DEF,78.21,78.21,0.37,0.92,1.29,2.59,0.05,2263.85,4,Leeds,2025-26
Brighton,Costinha,False,none,,,,,,,,,,,,,
Brighton,Michael Svoboda,False,none,,,,,,,,,,,,,
Brighton,Luka Vuskovic,True,name,Spurs,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Spurs,2025-26
Brighton,Igor Julio,False,none,,,,,,,,,,,,,
Brighton,Lewis Dunk,True,name,Brighton,DEF,126.0,126.0,1.76,1.39,3.15,3.52,0.07,3917.47,9,Brighton,2025-26
Brighton,Eiran Cashin,True,name,Brighton,DEF,0.35,0.35,0.0,0.0,0.0,0.0,0.0,6.72,2,Brighton,2025-26
Brighton,Olivier Boscagli,True,name,Brighton,DEF,23.19,23.19,0.0,0.59,0.59,0.31,0.11,475.09,1,Brighton,2025-26
Brighton,Ferdi Kadioglu,True,name,Brighton,DEF,6.72,6.72,0.35,0.0,0.35,0.27,0.23,136.12,1,Brighton,2024-25
Brighton,Maxim De Cuyper,True,name,Brighton,DEF,49.95,49.95,1.19,1.78,2.97,3.41,0.32,834.82,1,Brighton,2025-26
Brighton,Amario Cozier-Duberry,True,name,Brighton,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Brighton,2024-25
Brighton,Rodrigo Rêgo,False,none,,,,,,,,,,,,,
Brighton,Jack Hinshelwood,True,name,Brighton,MID,94.53,94.53,4.78,4.03,8.81,6.34,0.43,1864.6,4,Brighton,2025-26
Man United,Carlos Baleba,True,name,Brighton,MID,71.2,71.2,1.06,0.35,1.41,2.64,0.06,2195.4,3,Brighton,2025-26
Brighton,Kaoru Mitoma,True,name,Brighton,MID,32.81,32.81,1.51,2.6,4.1,3.13,0.61,601.06,2,Brighton,2023-24
Brighton,Diego Gómez,True,name,Brighton,MID,57.68,57.68,2.97,0.59,3.57,4.73,0.26,1258.78,1,Brighton,2025-26
Brighton,Yasin Ayari,True,name,Brighton,MID,84.81,84.81,2.49,2.73,5.22,4.14,0.26,1842.62,4,Brighton,2025-26
Brighton,Mats Wieffer,True,name,Brighton,MID,74.28,74.28,1.54,4.15,5.69,2.88,0.34,1484.96,2,Brighton,2025-26
Brighton,Pascal Groß,True,name,Brighton,MID,114.86,114.86,3.01,7.86,10.86,8.15,0.41,2396.04,9,Brighton,2025-26
Brighton,Matt O'Riley,True,name,Brighton,MID,27.19,27.19,1.3,1.06,2.36,2.52,0.47,448.56,2,Brighton,2025-26
Brighton,Malick Yalcouyé,True,name,Brighton,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Brighton,2025-26
Brighton,Facundo Buonanotte,True,name,Leeds,MID,43.53,43.53,2.52,1.04,3.57,3.38,0.34,936.14,4,Leeds,2025-26
Brighton,Ibrahim Osman,True,name,Brighton,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Brighton,2024-25
Brighton,Zadok Yohanna,False,none,,,,,,,,,,,,,
Brighton,Stefanos Tzimas,True,name,Brighton,FWD,9.51,9.51,0.59,0.59,1.19,0.33,1.36,78.49,1,Brighton,2025-26
Brighton,Georginio Rutter,True,name,Brighton,MID,87.19,87.19,3.55,5.22,8.77,5.73,0.47,1672.61,3,Brighton,2025-26
Brighton,Yankuba Minteh,True,name,Brighton,MID,105.63,105.63,3.91,6.52,10.43,8.5,0.45,2067.86,2,Brighton,2025-26
Brighton,Tom Watson,True,name,Brighton,MID,2.97,2.97,0.0,0.0,0.0,0.04,0.0,33.89,1,Brighton,2025-26
Chelsea,Danny Welbeck,True,name,Brighton,FWD,159.82,159.82,13.9,4.37,18.28,14.71,0.57,2884.06,10,Brighton,2025-26
Brighton,Charalampos Kostoulas,True,name,Brighton,FWD,20.81,20.81,1.19,0.59,1.78,1.58,0.77,208.71,1,Brighton,2025-26
Brighton,Evan Ferguson,True,name,Brighton,FWD,32.6,32.6,2.36,0.46,2.83,2.49,0.47,540.57,5,Brighton,2025-26
Brighton,Mark O'Mahony,True,name,Brighton,FWD,0.42,0.42,0.0,0.0,0.0,0.01,0.0,12.82,2,Brighton,2024-25
Chelsea,Robert Sánchez,True,name,Chelsea,GKP,67.19,67.19,0.0,0.59,0.59,0.02,0.03,1807.59,1,Chelsea,2025-26
Chelsea,Filip Jörgensen,True,name,Chelsea,GKP,5.35,5.35,0.0,0.0,0.0,0.0,0.0,224.76,1,Chelsea,2025-26
Chelsea,Teddy Sharman-Lowe,True,name,Chelsea,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Chelsea,2025-26
Chelsea,Mike Penders,True,name,Chelsea,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Chelsea,2025-26
Chelsea,Gaga Slonina,True,name,Chelsea,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Chelsea,2025-26
Crystal Palace,Axel Disasi,True,name,West Ham,DEF,55.73,55.73,0.77,0.0,0.77,1.73,0.04,1588.67,3,West Ham,2025-26
Chelsea,Ishé Samuels-Smith,True,name,Chelsea,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Chelsea,2024-25
Chelsea,Marco Palestra,False,none,,,,,,,,,,,,,
Chelsea,Tosin Adarabioyo,True,name,Chelsea,DEF,69.74,69.74,0.9,0.4,1.3,1.09,0.07,1695.31,5,Chelsea,2025-26
Chelsea,Benoît Badiashile,True,name,Chelsea,DEF,4.16,4.16,0.0,0.0,0.0,0.04,0.0,279.46,1,Chelsea,2025-26
Chelsea,Levi Colwill,True,name,Chelsea,DEF,4.76,4.76,0.0,0.0,0.0,0.07,0.0,133.79,1,Chelsea,2025-26
Chelsea,Mamadou Sarr,True,name,Chelsea,DEF,1.78,1.78,0.0,0.0,0.0,0.21,0.0,59.46,1,Chelsea,2025-26
Chelsea,Jorrel Hato,True,name,Chelsea,DEF,11.3,11.3,0.0,0.0,0.0,0.54,0.0,677.25,1,Chelsea,2025-26
Chelsea,Trevoh Chalobah,True,name,Chelsea,DEF,135.43,135.43,3.28,1.02,4.3,2.61,0.14,2856.32,6,Chelsea,2025-26
Chelsea,Reece James,True,name,Chelsea,DEF,112.32,112.32,2.08,5.8,7.88,3.93,0.34,2062.8,7,Chelsea,2025-26
Chelsea,Malo Gusto,True,name,Chelsea,DEF,93.85,93.85,1.19,3.4,4.59,4.8,0.17,2363.02,3,Chelsea,2025-26
Chelsea,Wesley Fofana,True,name,Chelsea,DEF,56.87,56.87,0.12,1.23,1.36,1.13,0.07,1752.85,6,Chelsea,2025-26
Chelsea,Aaron Anselmino,True,name,Chelsea,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Chelsea,2025-26
Chelsea,Josh Acheampong,True,name,Chelsea,DEF,24.81,24.81,0.59,0.0,0.59,0.53,0.12,451.1,3,Chelsea,2025-26
Chelsea,Mykhailo Mudryk,True,name,Chelsea,MID,25.36,25.36,1.05,1.3,2.35,2.37,0.46,461.31,4,Chelsea,2025-26
Chelsea,Geovany Quenda,False,none,,,,,,,,,,,,,
Chelsea,Enzo Fernández,True,name,Chelsea,MID,162.52,162.52,8.7,6.68,15.38,17.8,0.39,3549.65,4,Chelsea,2025-26
Chelsea,Cole Palmer,True,name,Chelsea,MID,197.78,197.78,15.87,7.66,23.53,22.53,0.73,2894.65,7,Chelsea,2025-26
Chelsea,Dário Essugo,True,name,Chelsea,MID,0.59,0.59,0.0,0.0,0.0,0.01,0.0,15.46,1,Chelsea,2025-26
Chelsea,Moisés Caicedo,True,name,Chelsea,MID,127.59,127.59,2.47,2.76,5.24,4.59,0.12,3841.81,4,Chelsea,2025-26
Chelsea,Roméo Lavia,True,name,Chelsea,MID,24.26,24.26,0.12,0.48,0.6,0.81,0.07,786.5,4,Chelsea,2025-26
Chelsea,David Datro Fofana,True,name,Chelsea,FWD,10.89,10.89,0.84,0.21,1.05,1.1,0.49,192.66,3,Chelsea,2024-25
Chelsea,Emmanuel Emegha,False,none,,,,,,,,,,,,,
Chelsea,Pedro Neto,True,name,Chelsea,MID,142.41,142.41,5.18,9.35,14.53,11.39,0.44,2972.84,7,Chelsea,2025-26
Nott'm Forest,Liam Delap,True,name,Chelsea,FWD,73.54,73.54,4.84,1.9,6.73,6.66,0.39,1566.27,5,Chelsea,2025-26
Chelsea,Jamie Gittens,True,name,Chelsea,MID,14.87,14.87,0.0,1.19,1.19,1.04,0.37,288.98,1,Chelsea,2025-26
Aston Villa,Nicolas Jackson,True,name,Chelsea,FWD,72.63,72.63,6.48,3.38,9.86,9.25,0.65,1373.73,3,Chelsea,2025-26
Chelsea,João Pedro,True,name,Chelsea,FWD,176.19,176.19,14.57,8.18,22.75,17.8,0.73,2818.72,5,Chelsea,2025-26
Chelsea,Marc Guiu,True,name,Chelsea,FWD,8.79,8.79,0.0,0.59,0.59,1.1,0.29,182.67,2,Chelsea,2025-26
