Team,Player
Chelsea,Tosin Adarabioyo
Chelsea,Benoît Badiashile
Chelsea,Levi Colwill
Chelsea,Mamadou Sarr
Chelsea,Jorrel Hato
Chelsea,Trevoh Chalobah
Chelsea,Reece James
Chelsea,Malo Gusto
Chelsea,Wesley Fofana
Chelsea,Aaron Anselmino
Chelsea,Josh Acheampong
Chelsea,Mykhailo Mudryk
Chelsea,Geovany Quenda
Chelsea,Enzo Fernández
Chelsea,Cole Palmer
Chelsea,Dário Essugo
Chelsea,Moisés Caicedo
Chelsea,Roméo Lavia
Chelsea,David Datro Fofana
Chelsea,Emmanuel Emegha
Chelsea,Pedro Neto
Chelsea,Liam Delap
Chelsea,Jamie Gittens
Chelsea,Nicolas Jackson
Chelsea,João Pedro
Chelsea,Marc Guiu
Chelsea,Estêvão
Chelsea,Alejandro Garnacho
Coventry City,Oliver Dovin
Coventry City,Ben Wilson
Coventry City,Harvey Broad
Coventry City,Aurèle Amenda
Coventry City,Jay Dasilva
Coventry City,Bobby Thomas
Coventry City,Liam Kitching
Coventry City,Kaine Kesler-Hayden
Coventry City,Jake Bidwell
Coventry City,Joel Latibeaudiere
Coventry City,Luke Woolfenden
Coventry City,Milan van Ewijk
Coventry City,Miguel Ángel Brau
Coventry City,Frank Onyeka
Coventry City,Jack Rudoni
Coventry City,Matt Grimes
Coventry City,Tatsuhiro Sakamoto
Coventry City,Josh Eccles
Coventry City,Victor Torp
Coventry City,Kai Andrews
Coventry City,Loum Tchaouna
Coventry City,Ellis Simms
Coventry City,Ephron Mason-Clark
Coventry City,Haji Wright
Coventry City,Raphael Borges Rodrigues
Coventry City,Brandon Thomas-Asante
Coventry City,Jahnoah Markelo
Coventry City,Norman Bassette
Coventry City,Aidan Dausch
Crystal Palace,Owen Goodman
Crystal Palace,Dean Henderson
Crystal Palace,Remi Matthews
Crystal Palace,Joe Whitworth
Crystal Palace,Walter Benítez
Crystal Palace,Danny Imray
Crystal Palace,Daniel Muñoz
Crystal Palace,Tyrick Mitchell
Crystal Palace,Maxence Lacroix
Crystal Palace,Jaydee Canvot
Crystal Palace,Nathaniel Clyne
Crystal Palace,Borna Sosa
Crystal Palace,Chris Richards
Crystal Palace,Óscar Mingueza
Crystal Palace,Tayo Adaramola
Crystal Palace,Jefferson Lerma
Crystal Palace,Yéremy Pino
Crystal Palace,Daichi Kamada
Crystal Palace,Will Hughes
Crystal Palace,Adam Wharton
Crystal Palace,Romain Esse
Crystal Palace,David Ozoh
Crystal Palace,Justin Devenny
Crystal Palace,Matheus França
Crystal Palace,Ismaïla Sarr
Crystal Palace,Eddie Nketiah
Crystal Palace,Jean-Philippe Mateta
Crystal Palace,Jørgen Strand Larsen
Crystal Palace,Brennan Johnson
Crystal Palace,Jesurun Rak-Sakyi
Everton,Jordan Pickford
Everton,Mark Travers
Everton,Tom King
Everton,Nathan Patterson
Everton,Michael Keane
Everton,James Tarkowski
Everton,Jake O'Brien
Everton,Vitalii Mykolenko
Everton,Jarrad Branthwaite
Everton,Adam Aznou
Everton,Hayden Hackney
Everton,Tyler Dibling
Everton,Kiernan Dewsbury-Hall
Everton,Charly Alcaraz
Everton,Idrissa Gueye
Everton,Merlin Röhl
Everton,James Garner
Everton,Tim Iroegbunam
Everton,Harrison Armstrong
Everton,Dwight McNeil
Everton,Beto
Everton,Iliman Ndiaye
Everton,Thierno Barry
Everton,Tyrique George
Everton,Martin Sherif
Fulham,Bernd Leno
Fulham,Benjamin Lecomte
Fulham,Kenny Tete
Fulham,Calvin Bassey
Fulham,Joachim Andersen
Fulham,Jorge Cuenca
Fulham,Timothy Castagne
Fulham,Issa Diop
Fulham,Antonee Robinson
Fulham,Luke Harris
Fulham,Harrison Reed
Fulham,Tom Cairney
Fulham,Oscar Bobb
Fulham,Sander Berge
Fulham,Sasa Lukic
Fulham,Josh King
Fulham,Ryan Sessegnon
Fulham,Emile Smith Rowe
Fulham,Jonah Kusi-Asare
Fulham,Rodrigo Muniz
Fulham,Alex Iwobi
Fulham,Kevin
Hull City,Jack Butland
Hull City,Dillon Phillips
Hull City,Thimothée Lo-Tutala
Hull City,Harvey Cartwright
Hull City,Lewie Coyle
Hull City,Ryan Giles
Hull City,Charlie Hughes
Hull City,Semi Ajayi
Hull City,John Egan
Hull City,Matty Jacob
Hull City,Cody Drameh
Hull City,Paddy McNair
Hull City,Abdülkadir Ömür
Hull City,Eliot Matazo
Hull City,Darko Gyabi
Hull City,Matt Crooks
Hull City,Kieran Dowell
Hull City,Regan Slater
Hull City,Mason Burstow
Hull City,Liam Millar
Hull City,Oliver McBurnie
Hull City,Mohamed Belloumi
Hull City,David Akintola
Hull City,Abu Kamara
Hull City,Enis Destan
Hull City,Hugh Parker
Ipswich Town,Alex Palmer
Ipswich Town,David Button
Ipswich Town,Christian Walton
Ipswich Town,Harry Clarke
Ipswich Town,Leif Davis
Ipswich Town,Cédric Kipré
Ipswich Town,Ben Johnson
Ipswich Town,Darnell Furlong
Ipswich Town,Jacob Greaves
Ipswich Town,Dara O'Shea
Ipswich Town,Azor Matusiwa
Ipswich Town,Jack Taylor
Ipswich Town,Kasey McAteer
Ipswich Town,Cameron Humphreys
Ipswich Town,Marcelino Núñez
Ipswich Town,Anis Mehmeti
Ipswich Town,Finley Barbrook
Ipswich Town,Emersonn
Ipswich Town,Wes Burns
Ipswich Town,Sindre Egeli
Ipswich Town,George Hirst
Ipswich Town,Jaden Philogene
Ipswich Town,Ali Al Hamadi
Ipswich Town,Chiedozie Ogbene
Ipswich Town,Sam Szmodics
Ipswich Town,Chuba Akpom
Ipswich Town,Jack Clarke
Leeds United,Lucas Perri
Leeds United,Jayden Bogle
Leeds United,Gabriel Gudmundsson
Leeds United,Ethan Ampadu
Leeds United,Joe Rodon
Leeds United,Jaka Bijol
Leeds United,Sebastiaan Bornauw
Leeds United,James Justin
Leeds United,Sam Byram
Leeds United,Max Wöber
Leeds United,Harry Wilson
Leeds United,Daniel James
Leeds United,Sean Longstaff
Leeds United,Brenden Aaronson
Leeds United,Anton Stach
Leeds United,Ao Tanaka
Leeds United,Sam Chambers
Leeds United,Ilia Gruev
Leeds United,Mateo Joseph
Leeds United,Dominic Calvert-Lewin
Leeds United,Joël Piroe
Leeds United,Lukas Nmecha
Leeds United,Largie Ramazani
Leeds United,Noah Okafor
Leeds United,Jack Harrison
Leeds United,Wilfried Gnonto
Leeds United,Joe Gelhardt
Liverpool,Alisson Becker
Liverpool,Giorgi Mamardashvili
Liverpool,Freddie Woodman
Liverpool,Ármin Pécsi
Liverpool,Vítezslav Jaros
Liverpool,Harvey Davies
Liverpool,Jérémy Jacquet
Liverpool,Joe Gomez
Liverpool,Virgil van Dijk
Liverpool,Milos Kerkez
Liverpool,Conor Bradley
Liverpool,Giovanni Leoni
Liverpool,Kostas Tsimikas
Liverpool,Jeremie Frimpong
Liverpool,Calvin Ramsay
Liverpool,Wataru Endo
Liverpool,Florian Wirtz
Liverpool,Dominik Szoboszlai
Liverpool,Alexis Mac Allister
Liverpool,Curtis Jones
Liverpool,Harvey Elliott
Liverpool,Ryan Gravenberch
Liverpool,Trey Nyoni
Liverpool,Stefan Bajcetic
Liverpool,James McConnell
Liverpool,Víctor Muñoz
Liverpool,Alexander Isak
Liverpool,Federico Chiesa
Liverpool,Cody Gakpo
Liverpool,Hugo Ekitiké
Liverpool,Rio Ngumoha
Manchester City,James Trafford
Manchester City,Marcus Bettinelli
Manchester City,Gianluigi Donnarumma
Manchester City,Rúben Dias
Manchester City,John Stones
Manchester City,Marc Guéhi
Manchester City,Rayan Aït-Nouri
Manchester City,Vitor Reis
Manchester City,Josko Gvardiol
Manchester City,Abdukodir Khusanov
Manchester City,Max Alleyne
Manchester City,Issa Kaboré
Manchester City,Rico Lewis
Manchester City,Stephen Mfuni
Manchester City,Finley Burns
Manchester City,Josh Wilson-Esbrand
Manchester City,Elliot Anderson
Manchester City,Jack Grealish
Manchester City,Tijjani Reijnders
Manchester City,Mateo Kovacic
Manchester City,Rayan Cherki
Manchester City,Nico González
Manchester City,Rodri
Manchester City,Matheus Nunes
Manchester City,Claudio Echeverri
Manchester City,Nico O'Reilly
Manchester City,Kalvin Phillips
Manchester City,Phil Foden
Manchester City,Jeremy Monga
Manchester City,Omar Marmoush
Manchester City,Erling Haaland
Manchester City,Jérémy Doku
Manchester City,Savinho
Manchester City,Antoine Semenyo
Manchester United,Karl Darlow
Manchester United,Altay Bayindir
Manchester United,Tom Heaton
Manchester United,André Onana
Manchester United,Senne Lammens
Manchester United,Diogo Dalot
Manchester United,Noussair Mazraoui
Manchester United,Matthijs de Ligt
Manchester United,Harry Maguire
Manchester United,Lisandro Martínez
Manchester United,Patrick Dorgu
Manchester United,Leny Yoro
Manchester United,Luke Shaw
Manchester United,Ayden Heaven
Manchester United,Tyler Fredricson
Manchester United,Diego León
Manchester United,Harry Amass
Manchester United,Youri Tielemans
Manchester United,Andrey Santos
Manchester United,Mason Mount
Manchester United,Bruno Fernandes
Manchester United,Casemiro
Manchester United,Manuel Ugarte
Manchester United,Kobbie Mainoo
Manchester United,Jack Fletcher
Manchester United,Tyler Fletcher
Manchester United,Toby Collyer
Manchester United,Marcus Rashford
Manchester United,Enzo Kana Biyik
Manchester United,Matheus Cunha
Manchester United,Joshua Zirkzee
Manchester United,Amad Diallo
Manchester United,Bryan Mbeumo
Manchester United,Benjamin Sesko
Manchester United,Chido Obi
Manchester United,Ethan Wheatley
Newcastle United,Ewen Jaouen
Newcastle United,Nick Pope
Newcastle United,Odysseas Vlachodimos
Newcastle United,Mark Gillespie
Newcastle United,Max Thompson
Newcastle United,Aidan Harris
Newcastle United,Lewis Hall
Newcastle United,Sven Botman
Newcastle United,Fabian Schär
Newcastle United,Malick Thiaw
Newcastle United,Tino Livramento
Newcastle United,Dan Burn
Newcastle United,Alex Murphy
Newcastle United,Leo Shahar
Newcastle United,Joelinton
Newcastle United,Harvey Barnes
Newcastle United,Sean Steur
Newcastle United,Jacob Murphy
Newcastle United,Joe Willock
Newcastle United,Bruno Guimarães
Newcastle United,Jacob Ramsey
Newcastle United,Lewis Miley
Newcastle United,Bazoumana Touré
Newcastle United,Antoñito Cordero
Newcastle United,Yoane Wissa
Newcastle United,William Osula
Newcastle United,Anthony Elanga
Newcastle United,Nick Woltemade
Newcastle United,Trevan Sanusi
Newcastle United,Sean Neave
Newcastle United,Park Seung-Soo
Nottingham Forest,John Victor
Nottingham Forest,Matz Sels
Nottingham Forest,Tyler Bindon
Nottingham Forest,Neco Williams
Nottingham Forest,Morato
Nottingham Forest,Murillo
Nottingham Forest,Jair Cunha
Nottingham Forest,Luca Netz
Nottingham Forest,Omar Richards
Nottingham Forest,Nikola Milenkovic
Nottingham Forest,Ola Aina
Nottingham Forest,Nicolò Savona
Nottingham Forest,Zach Abbott
Nottingham Forest,Ben Hammond
Nottingham Forest,Ibrahim Sangaré
Nottingham Forest,Morgan Gibbs-White
Nottingham Forest,Nicolás Domínguez
Nottingham Forest,Ryan Yates
Nottingham Forest,James McAtee
Nottingham Forest,Callum Hudson-Odoi
Nottingham Forest,Taiwo Awoniyi
Nottingham Forest,Chris Wood
Nottingham Forest,Dan Ndoye
Nottingham Forest,Arnaud Kalimuendo
Nottingham Forest,Eric da Silva Moreira
Nottingham Forest,Igor Jesus
Nottingham Forest,Omari Hutchinson
Nottingham Forest,Dilane Bakwa
Sunderland,Anthony Patterson
Sunderland,Simon Moore
Sunderland,Robin Roefs
Sunderland,Melker Ellborg
Sunderland,Dan Ballard
Sunderland,Thomas Meunier
Sunderland,Omar Alderete
Sunderland,Reinildo Mandava
Sunderland,Nordi Mukiele
Sunderland,Jenson Seelt
Sunderland,Arthur Masuaku
Sunderland,Trai Hume
Sunderland,Leo Hjelde
Sunderland,Aji Alese
Sunderland,Alan Browne
Sunderland,Chris Rigg
Sunderland,Luke O'Nien
Sunderland,Habib Diarra
Sunderland,Noah Sadiki
Sunderland,Enzo Le Fée
Sunderland,Granit Xhaka
Sunderland,Abdoullah Ba
Sunderland,Luís Semedo
Sunderland,Chemsdine Talbi
Sunderland,Brian Brobbey
Sunderland,Nilson Angulo
Sunderland,Romaine Mundle
Sunderland,Wilson Isidor
Sunderland,Simon Adingra
Sunderland,Ahmed Abdullahi
Sunderland,Djiamgone Jocelin Ta Bi
Sunderland,Trey Ogunsuyi
Tottenham Hotspur,Martin Dúbravka
Tottenham Hotspur,Guglielmo Vicario
Tottenham Hotspur,Antonín Kinsky
Tottenham Hotspur,Brandon Austin
Tottenham Hotspur,Andy Robertson
Tottenham Hotspur,Jan Paul van Hecke
Tottenham Hotspur,Marcos Senesi
Tottenham Hotspur,Kevin Danso
Tottenham Hotspur,Destiny Udogie
Tottenham Hotspur,Cristian Romero
Tottenham Hotspur,Pedro Porro
Tottenham Hotspur,Djed Spence
Tottenham Hotspur,Kota Takai
Tottenham Hotspur,Ben Davies
Tottenham Hotspur,Ashley Phillips
Tottenham Hotspur,Micky van de Ven
Tottenham Hotspur,Souza
Tottenham Hotspur,Xavi Simons
Tottenham Hotspur,Conor Gallagher
Tottenham Hotspur,James Maddison
Tottenham Hotspur,Archie Gray
Tottenham Hotspur,Lucas Bergvall
Tottenham Hotspur,Sandro Tonali
Tottenham Hotspur,Mateus Fernandes
Tottenham Hotspur,Mohammed Kudus
Tottenham Hotspur,Dejan Kulusevski
Tottenham Hotspur,Pape Matar Sarr
Tottenham Hotspur,Rodrigo Bentancur
Tottenham Hotspur,George Abbott
Tottenham Hotspur,Yang Min-Hyeok
Tottenham Hotspur,Richarlison
Tottenham Hotspur,Mathys Tel
Tottenham Hotspur,Dominic Solanke
Tottenham Hotspur,Manor Solomon
Tottenham Hotspur,Wilson Odobert
Tottenham Hotspur,Alejo Veliz
Tottenham Hotspur,Will Lankshear
Tottenham Hotspur,Jamie Donley
Tottenham Hotspur,Dane Scarlett
Tottenham Hotspur,Mikey Moore
